gbifID,date,latitude,longitude,
3355232092,2021-09-03T15:54:32,36.777797,-121.926653,
3355161546,2021-08-31T15:12:00,36.985784,-122.198849,
3355145998,2021-09-04T17:03:00,36.918951,-121.628065,
3355009861,2021-08-26T14:26:00,36.739414,-121.877163,
3344121811,2021-08-11T12:14:21,36.734466,-121.805423,
3344099988,2021-08-25T15:37:00,36.818516,-121.777913,
3343864550,2021-08-26T10:53:44,36.550995,-121.950656,
3343767060,2021-08-21T13:14:00,36.966323,-121.745067,
3338070351,2021-08-16T11:17:00,36.874624,-122.101244,
3338041169,2021-08-15T11:15:43,36.928624,-121.730478,
3337848501,2021-08-16T11:15:00,36.9195,-122.014316,
3337830214,2021-08-10T10:57:11,36.88641,-121.733247,
3337820353,2021-08-07T14:34:00,36.623783,-121.804609,
3337736810,2021-08-11T07:33:00,36.717545,-121.716655,
3337667466,2021-08-11T16:45:00,36.937295,-121.628613,
3337601390,2021-08-07T14:28:00,36.782019,-121.903131,
3337503243,2021-08-07T14:59:00,36.762081,-121.81047,
3337462219,2021-08-05T18:02:00,36.434723,-121.838291,
3337455050,2021-08-08T11:23:26,36.760139,-121.948874,
3337414828,2021-08-08T11:16:03,36.79186,-121.956816,
3337392259,2021-08-07T14:39:00,36.608374,-121.896272,
3335570498,2021-08-04T09:57:00,36.983927,-121.763412,
3335569488,2021-08-04T13:01:00,36.696884,-121.853546,
3335375604,2021-07-29T12:33:00,36.878607,-121.794545,
3335338888,2021-07-31T18:52:37,35.366409,-120.963799,
3335321496,2021-08-01T13:26:00,35.222799,-120.990119,
3333427124,2021-07-22T07:48:00,35.389095,-120.958302,
3333421135,2021-07-22T08:16:00,35.231368,-120.865884,
3333415117,2021-07-22T07:47:00,35.329685,-120.825482,
3333369890,2021-07-24T17:44:33,35.38174,-120.991595,
3333268023,2021-07-25T09:57:00,36.952515,-121.769511,
3333246043,2021-07-25T09:56:00,36.975392,-121.609156,
3333153893,2021-07-24T14:57:00,36.979785,-121.799648,
3333144231,2021-07-26T12:12:00,36.460544,-121.77744,
3333115203,2021-07-25T15:35:00,37.087213,-122.305447,
3333100871,2021-07-19T18:04:00,35.372297,-120.861323,
3333079127,2021-07-25T14:11:08,36.006149,-121.764217,
3333058769,2021-07-23T15:10:00,36.877593,-121.954262,
3330722621,2021-07-15T15:14:00,36.926225,-121.920641,
3330501091,2021-07-18T13:58:00,36.873658,-121.803983,
3330456753,2021-07-16T08:57:00,36.805363,-121.765923,
3330446018,2021-07-18T13:49:00,36.797306,-121.918755,
3327819312,2021-07-12T19:30:20,36.93093,-122.124412,
3327815388,2021-07-13T19:38:23,35.39054,-120.92678,
3327763088,2021-07-09T07:32:00,36.985954,-121.683724,
3327729759,2021-07-09T07:39:00,36.996426,-121.683059,
3325685169,2021-06-28T23:04:00,36.853673,-121.658519,
3325683060,2021-07-02T17:29:00,35.359594,-120.854693,
3325681069,2021-07-03T17:17:00,36.595238,-121.987429,
3325663069,2021-07-02T17:47:00,35.334239,-120.804704,
3325576703,2021-07-02T15:52:00,36.425272,-121.880266,
3325571043,2021-07-02T14:58:00,35.251273,-120.849942,
3325546566,2021-06-22T23:59:00,36.953712,-121.742815,
3325499861,2021-07-03T15:26:00,36.584817,-121.993557,
3325488189,2021-06-29T00:08:00,36.880143,-121.600744,
3325474693,2021-07-02T07:38:00,36.93027,-121.723861,
3321138066,2021-06-27T13:21:00,36.610948,-121.955047,
3320952874,2021-06-21T11:37:48,36.876387,-121.797253,
3314502178,2021-06-11T22:12:00,36.884845,-121.768862,
3314418691,2021-05-26T21:26:00,36.816158,-121.777472,
3314257692,2021-06-18T14:25:04,36.988705,-121.792781,
3314256728,2021-06-18T10:10:00,36.725367,-121.922864,
3314234743,2021-05-28T23:07:00,36.866573,-121.658593,
3314176042,2021-06-07T21:38:00,36.84121,-121.671901,
3314148848,2021-05-31T21:04:00,36.832331,-121.668194,
3314147846,2021-05-31T22:06:00,36.872457,-121.754555,
3307525871,2021-05-17T22:26:00,36.947333,-121.739703,
3307249873,2021-06-13T08:24:10,36.99241,-121.759029,
3302495738,2021-06-07T12:01:00,36.812784,-121.933207,
3302103883,2021-05-31T14:04:00,36.907977,-121.669708,
3301971243,2021-06-08T09:38:00,36.862757,-121.620248,
3301969127,2021-06-08T09:29:00,36.913536,-121.675417,
3301965811,2021-06-08T08:22:00,36.863542,-121.637253,
3124911997,2021-04-11T12:24:36,36.638671,-121.935062,
3124748463,2021-05-17T21:51:00,36.876994,-121.683202,
3124588568,2021-05-16T16:19:00,36.960581,-121.692311,
3124568278,2021-05-19T23:41:00,36.503594,-121.824885,
3118376503,2021-05-18T14:02:00,36.874495,-121.833232,
3118281781,2021-05-14T10:12:00,36.787669,-121.92755,
3118279870,2021-04-14T19:42:00,35.39737,-120.919541,
3118250071,2021-05-16T11:24:05,36.856621,-122.071642,
3117833761,2021-05-12T10:09:00,36.807469,-121.647941,
3117828580,2021-05-07T13:58:08,36.870561,-121.700797,
3117767151,2021-05-10T22:25:00,36.819821,-121.725237,
3113588016,2021-05-08T19:04:55,36.410048,-121.919977,
3113577233,2021-05-09T14:54:55,35.371803,-120.93472,
3113364607,2021-05-11T17:03:00,36.995069,-122.085069,
3113353256,2021-05-08T14:12:00,36.902472,-121.62334,
3113271774,2021-05-07T12:46:27,35.333269,-120.952662,
3112892706,2021-04-18T13:42:00,35.369348,-120.89591,
3112890670,2021-04-16T15:53:00,36.70297,-121.902734,
3112886526,2021-05-04T13:20:00,36.80304,-121.603906,
3112880500,2021-05-04T13:21:00,36.985886,-121.777148,
3112645600,2021-04-28T22:35:00,36.913102,-121.626095,
3112333275,2021-04-30T13:38:00,36.861933,-121.61759,
3109315628,2021-04-23T14:24:00,36.896551,-121.738742,
3097181605,2021-04-15T13:49:00,36.940993,-121.784389,
3097115567,2021-04-21T19:22:33,36.820312,-121.724934,
3090952821,2021-04-12T17:39:46,36.783753,-121.998551,
3090668198,2021-04-06T16:51:21,36.578547,-121.831364,
3090589195,2021-04-06T14:19:25,36.431825,-121.910122,
3079909834,2021-04-05T08:50:00,36.948836,-122.164496,
3079784895,2021-04-04T17:40:00,35.253208,-120.948319,
3079698847,2021-04-04T11:44:16,36.803321,-121.716404,
3070712719,2021-03-26T10:09:00,36.973472,-121.703141,
3070681782,2021-03-30T15:47:00,36.615951,-121.805955,
3070658119,2021-03-23T14:02:46,36.95253,-121.726454,
3070656691,2021-03-25T22:48:00,36.851755,-121.722246,
3070636972,2021-03-30T16:27:00,36.732555,-121.882656,
3070568282,2021-03-30T15:40:00,36.734509,-121.899193,
3070530850,2021-03-23T10:39:10,36.947172,-121.736703,
3070391933,2021-03-27T10:00:00,36.893333,-121.720711,
3070256828,2020-02-24T09:21:00,36.746363,-121.811638,
3068074345,2021-01-23T10:07:00,36.984924,-121.780885,
3068003571,2021-03-14T03:18:00,36.808463,-121.607225,
3067808822,2020-02-14T16:18:58,35.377995,-120.918973,
3067680805,2020-02-14T15:56:47,35.314371,-120.831605,
3067645845,2020-02-16T13:19:20,35.377051,-120.942307,
3061766627,2021-03-11T15:35:00,36.773589,-121.823968,
3061758562,2021-03-11T15:33:00,36.659241,-121.83748,
3061756247,2021-03-13T12:54:00,36.842876,-121.641769,
3061743898,2021-03-12T00:58:00,36.830273,-121.69904,
3061741758,2021-03-12T15:45:00,36.785131,-121.840189,
3061727187,2021-03-05T21:49:00,36.95294,-121.783226,
3061692076,2021-02-25T14:26:00,36.953792,-121.683727,
3061677575,2021-03-09T12:26:00,36.684033,-121.897649,
3061674589,2021-03-11T16:26:00,36.617685,-121.934529,
3061663257,2021-03-16T11:30:00,36.789091,-121.991366,
3061632412,2021-03-14T12:49:00,36.832409,-121.738894,
3061624909,2021-02-26T13:33:00,36.899237,-121.686149,
3061618704,2021-03-14T12:48:00,36.856557,-121.699383,
3061612880,2021-03-04T17:40:01,36.795311,-121.965356,
3061612712,2021-03-12T17:23:00,36.788177,-121.84618,
3061569604,2021-03-11T15:24:00,36.73839,-121.834981,
3061530263,2021-03-14T16:51:00,36.931225,-121.860637,
3061520190,2021-02-23T11:56:00,36.990727,-121.702288,
3059063308,2021-03-02T13:33:00,36.658435,-121.986667,
3058778817,2021-02-26T13:49:00,36.872867,-122.041519,
3044889077,2021-02-23T11:18:00,36.615092,-121.995411,
3044652734,2021-02-20T17:14:00,36.973725,-121.711371,
3039488408,2021-02-03T13:50:00,36.947103,-121.715685,
3039479083,2021-02-10T17:09:00,36.810156,-122.140408,
3039469621,2021-02-05T11:21:00,35.200379,-120.904284,
3039314086,2021-01-31T10:34:00,36.607338,-121.954136,
3039292979,2021-02-09T10:09:00,36.719705,-121.923157,
3039179793,2021-01-18T10:28:51,36.82499,-121.72454,
3039144234,2021-01-31T08:23:00,35.3815,-120.873938,
3032159649,2021-01-12T13:36:00,36.805462,-122.110806,
3032140470,2021-01-21T12:31:00,36.902122,-121.779047,
3032105034,2021-01-28T10:00:00,36.908727,-121.689585,
3032016512,2020-11-14T14:36:35,36.498709,-121.812581,
3031998367,2021-01-09T16:18:01,35.019597,-120.61425,
3031983504,2021-01-10T10:01:00,36.786865,-121.958415,
