gbifID,reference,publisher,rightsHolder
3465982897,https://www.inaturalist.org/photos/178077742,"iNaturalist","Steven Kurniawidjaja"
3465982897,https://www.inaturalist.org/photos/178077756,"iNaturalist","Steven Kurniawidjaja"
3465982897,https://www.inaturalist.org/photos/178077691,"iNaturalist","Steven Kurniawidjaja"
3465982897,https://www.inaturalist.org/photos/178077574,"iNaturalist","Steven Kurniawidjaja"
3465982897,https://www.inaturalist.org/photos/178077608,"iNaturalist","Steven Kurniawidjaja"
3465982897,https://www.inaturalist.org/photos/178077645,"iNaturalist","Steven Kurniawidjaja"
3465982897,https://www.inaturalist.org/photos/178077770,"iNaturalist","Steven Kurniawidjaja"
3465967880,https://www.inaturalist.org/photos/176740459,"iNaturalist","Sarah Wang - whi"
3465967880,https://www.inaturalist.org/photos/176740482,"iNaturalist","Sarah Wang - whi"
3465963858,https://www.inaturalist.org/photos/178077466,"iNaturalist","Steven Kurniawidjaja"
3465963858,https://www.inaturalist.org/photos/178077557,"iNaturalist","Steven Kurniawidjaja"
3465963858,https://www.inaturalist.org/photos/178077533,"iNaturalist","Steven Kurniawidjaja"
3465963858,https://www.inaturalist.org/photos/178077435,"iNaturalist","Steven Kurniawidjaja"
3465963858,https://www.inaturalist.org/photos/178077514,"iNaturalist","Steven Kurniawidjaja"
3465963858,https://www.inaturalist.org/photos/178077499,"iNaturalist","Steven Kurniawidjaja"
3465963858,https://www.inaturalist.org/photos/178077545,"iNaturalist","Steven Kurniawidjaja"
3465935210,https://www.inaturalist.org/photos/178077351,"iNaturalist","Steven Kurniawidjaja"
3465935210,https://www.inaturalist.org/photos/178077364,"iNaturalist","Steven Kurniawidjaja"
3465935210,https://www.inaturalist.org/photos/178077284,"iNaturalist","Steven Kurniawidjaja"
3465935210,https://www.inaturalist.org/photos/178077387,"iNaturalist","Steven Kurniawidjaja"
3465935210,https://www.inaturalist.org/photos/178077408,"iNaturalist","Steven Kurniawidjaja"
3465926613,https://www.inaturalist.org/photos/176745362,"iNaturalist","Sarah Wang - whi"
3465926613,https://www.inaturalist.org/photos/176745351,"iNaturalist","Sarah Wang - whi"
3465926613,https://www.inaturalist.org/photos/176745346,"iNaturalist","Sarah Wang - whi"
3465926613,https://www.inaturalist.org/photos/176745355,"iNaturalist","Sarah Wang - whi"
3465926613,https://www.inaturalist.org/photos/176745364,"iNaturalist","Sarah Wang - whi"
3465926613,https://www.inaturalist.org/photos/176745360,"iNaturalist","Sarah Wang - whi"
3465926613,https://www.inaturalist.org/photos/176745349,"iNaturalist","Sarah Wang - whi"
3465925727,https://www.inaturalist.org/photos/176730629,"iNaturalist","Sarah Wang - whi"
3465925727,https://www.inaturalist.org/photos/176730636,"iNaturalist","Sarah Wang - whi"
3465925727,https://www.inaturalist.org/photos/176730611,"iNaturalist","Sarah Wang - whi"
3465925727,https://www.inaturalist.org/photos/176730643,"iNaturalist","Sarah Wang - whi"
3465925727,https://www.inaturalist.org/photos/176730619,"iNaturalist","Sarah Wang - whi"
3465892950,https://www.inaturalist.org/photos/178077848,"iNaturalist","Steven Kurniawidjaja"
3465892950,https://www.inaturalist.org/photos/178077787,"iNaturalist","Steven Kurniawidjaja"
3465892950,https://www.inaturalist.org/photos/178077868,"iNaturalist","Steven Kurniawidjaja"
3465892950,https://www.inaturalist.org/photos/178077880,"iNaturalist","Steven Kurniawidjaja"
3465892950,https://www.inaturalist.org/photos/178077781,"iNaturalist","Steven Kurniawidjaja"
3465892950,https://www.inaturalist.org/photos/178077806,"iNaturalist","Steven Kurniawidjaja"
3465892950,https://www.inaturalist.org/photos/178077822,"iNaturalist","Steven Kurniawidjaja"
3465892950,https://www.inaturalist.org/photos/178077795,"iNaturalist","Steven Kurniawidjaja"
3465892950,https://www.inaturalist.org/photos/178077832,"iNaturalist","Steven Kurniawidjaja"
3457177139,https://www.inaturalist.org/photos/175980662,"iNaturalist","James Maughn"
3457144799,https://www.inaturalist.org/photos/175220487,"iNaturalist","Cricket Raspet"
3457138952,https://www.inaturalist.org/photos/175871783,"iNaturalist","James Maughn"
3457138952,https://www.inaturalist.org/photos/175871536,"iNaturalist","James Maughn"
3457138952,https://www.inaturalist.org/photos/175872321,"iNaturalist","James Maughn"
3457138952,https://www.inaturalist.org/photos/175872384,"iNaturalist","James Maughn"
3457138952,https://www.inaturalist.org/photos/175871704,"iNaturalist","James Maughn"
3457138952,https://www.inaturalist.org/photos/175871890,"iNaturalist","James Maughn"
3457097882,https://www.inaturalist.org/photos/173293859,"iNaturalist",""Andrea Kreuzhage""
3457093702,https://www.inaturalist.org/photos/174290001,"iNaturalist","Lori Brandt Dudzik"
3457015760,https://www.inaturalist.org/photos/175421553,"iNaturalist","Jasper Barnes"
3456957886,https://www.inaturalist.org/photos/170362166,"iNaturalist","jgal"
3456926848,https://www.inaturalist.org/photos/173810943,"iNaturalist","James Maughn"
3456926241,https://www.inaturalist.org/photos/172169458,"iNaturalist","Peggy Romfh"
3456926241,https://www.inaturalist.org/photos/172169461,"iNaturalist","Peggy Romfh"
3456926241,https://www.inaturalist.org/photos/172169484,"iNaturalist","Peggy Romfh"
3456926241,https://www.inaturalist.org/photos/172169445,"iNaturalist","Peggy Romfh"
3456926241,https://www.inaturalist.org/photos/172169473,"iNaturalist","Peggy Romfh"
3456926241,https://www.inaturalist.org/photos/172169478,"iNaturalist","Peggy Romfh"
3456926241,https://www.inaturalist.org/photos/172169451,"iNaturalist","Peggy Romfh"
3456858011,https://www.inaturalist.org/photos/172839804,"iNaturalist","overduehappiness"
3456811699,https://www.inaturalist.org/photos/175625804,"iNaturalist","Kayley Dillon"
3456811699,https://www.inaturalist.org/photos/175625868,"iNaturalist","Kayley Dillon"
3456811699,https://www.inaturalist.org/photos/175625832,"iNaturalist","Kayley Dillon"
3456809288,https://www.inaturalist.org/photos/176072920,"iNaturalist","Andrea Kreuzhage"
3456799165,https://www.inaturalist.org/photos/175980300,"iNaturalist","James Maughn"
3456793009,https://www.inaturalist.org/photos/175305774,"iNaturalist","Michael Kaufman"
3456793009,https://www.inaturalist.org/photos/175305767,"iNaturalist","Michael Kaufman"
3456779234,https://www.inaturalist.org/photos/170531194,"iNaturalist","Howard Friedman"
3456769008,https://www.inaturalist.org/photos/176275285,"iNaturalist","Andrea Kreuzhage"
3456769008,https://www.inaturalist.org/photos/176275268,"iNaturalist","Andrea Kreuzhage"
3456769008,https://www.inaturalist.org/photos/176275272,"iNaturalist","Andrea Kreuzhage"
3456736224,https://www.inaturalist.org/photos/170646828,"iNaturalist","judy_shae_nns"
3456736224,https://www.inaturalist.org/photos/170646822,"iNaturalist","judy_shae_nns"
3456701339,https://www.inaturalist.org/photos/169392567,"iNaturalist","boschniakia"
3456551816,https://www.inaturalist.org/photos/170409278,"iNaturalist","jgal"
3456551816,https://www.inaturalist.org/photos/170409272,"iNaturalist","jgal"
3456507807,https://www.inaturalist.org/photos/175220523,"iNaturalist","Christian Schwarz"
3456479385,https://www.inaturalist.org/photos/174730252,"iNaturalist","Simon Willison"
3456465128,https://www.inaturalist.org/photos/174607382,"iNaturalist","Simon Willison"
3456398219,https://www.inaturalist.org/photos/174140612,"iNaturalist","Andrea Kreuzhage"
3456398219,https://www.inaturalist.org/photos/174140585,"iNaturalist","Andrea Kreuzhage"
